"","ibge7","municipio","X2000","X2010","long","latit"
"371",3132701,"Itambacuri",37.16,27.38,-41.4106,-18.0152
"372",3132800,"Itambé do Mato Dentro",31.1,23.02,-43.1916,-19.2452
"373",3132909,"Itamogi",15.61,13.23,-47.0254,-21.0441
"374",3133006,"Itamonte",12.59,7.42,-44.5212,-22.1702
"375",3133105,"Itanhandu",9.24,5.62,-44.5605,-22.1745
"376",3133204,"Itanhomi",30.98,22.05,-41.5155,-19.1019
"377",3133303,"Itaobim",36.04,26.69,-41.3012,-16.3342
"378",3133402,"Itapagipe",12.49,7.87,-49.2253,-19.5431
"379",3133501,"Itapecerica",17.99,13.44,-45.0732,-20.2821
"380",3133600,"Itapeva",19.64,12.89,-46.1315,-22.4605
"381",3133709,"Itatiaiuçu",18.97,12.14,-44.2516,-20.1148
"382",3133758,"Itaú de Minas",8.93,6.2,-46.4508,-20.4422
"383",3133808,"Itaúna",9.06,5.19,-44.3435,-20.0431
"384",3133907,"Itaverava",22.45,19.93,-43.3636,-20.4041
"385",3134004,"Itinga",40.82,28.73,-41.4555,-16.3647
"386",3134103,"Itueta",25.88,18.65,-41.1013,-19.2339
"387",3134202,"Ituiutaba",14.03,10.34,-49.2754,-18.5808
"388",3134301,"Itumirim",15.16,7.24,-44.5216,-21.1901
"389",3134400,"Iturama",15.92,10.94,-50.1144,-19.4341
"390",3134509,"Itutinga",13.94,7.83,-44.3928,-21.1753
"391",3134608,"Jaboticatubas",21.36,13.28,-43.4442,-19.3049
"392",3134707,"Jacinto",42.21,34.13,-40.1736,-16.084
"393",3134806,"Jacuí",18.55,13.03,-46.4428,-21.01
